,PLAYER_ID,PLAYER,BAYESIAN_3P%,LOWER_BOUND,UPPER_BOUND,SEASON_3P%,HISTORICAL_3P%,AVG_3PA_PER_GAME,B_COMP_SALARY,S_COMP_SALARY,P_DISCOUNT
6,201587,Nicolas Batum,0.36491833592126843,0.16916916916916916,0.5605605605605606,0.2857142857142857,0.3648679678530425,3.426067073170732,24173741.420289855,20084439.692307692,4002502.629923584
15,1628970,Miles Bridges,0.34591596168629746,0.15015015015015015,0.5415415415415415,0.3333333333333333,0.3458167330677291,3.397560975609756,24271381.045454547,22088964.897435896,-563323.7820068356
20,201144,Mike Conley,0.38233442277525587,0.18618618618618618,0.5785785785785785,0.4514285714285714,0.38230819387089765,3.4261119081779055,25098632.714285713,25673296.65,-4120967.874224454
21,203496,Robert Covington,0.3611379200587091,0.16516516516516516,0.5575575575575575,0.25,0.36108011604552553,5.092017738359202,24399685.26470588,8375731.333333333,5117714.4951766115
22,203109,Jae Crowder,0.34272918296928656,0.14714714714714713,0.5385385385385385,0.5161290322580645,0.3426183844011142,4.409552845528455,24024039.95081967,51179021.0,-14812969.362712778
25,203915,Spencer Dinwiddie,0.339515646242053,0.14414414414414414,0.5355355355355356,0.31797235023041476,0.33939193654990085,3.954878048780488,24063738.13559322,19888989.096774194,-410917.08368624933
32,201568,Danilo Gallinari,0.3799045566754634,0.1841841841841842,0.5755755755755756,0.3125,0.3798757763975155,3.5618466898954706,24977525.211267605,21260379.230769232,4610622.417014228
43,202699,Tobias Harris,0.3730306954403644,0.17717717717717718,0.5685685685685685,0.3565217391304348,0.37299338999055714,4.081613508442777,24340687.257142857,24681495.529411763,1287776.5037959032
48,203200,Justin Holiday,0.35967298612221726,0.16416416416416416,0.5555555555555556,0.45454545454545453,0.3596120368067645,4.506651884700665,24399685.26470588,25156101.736842107,-7245764.997654751
63,200768,Kyle Lowry,0.36534401296057156,0.16916916916916916,0.5615615615615616,0.4295774647887324,0.36529442417926006,3.9966124661246614,24173741.420289855,28242424.583333332,-4585876.173005007
65,202083,Wesley Matthews,0.3756055153329951,0.18018018018018017,0.5715715715715716,0.2,0.3755716463414634,4.291056910569106,24537758.2,19000000.0,8817408.491733808
83,1627752,Taurean Prince,0.37393204364371285,0.1781781781781782,0.5695695695695696,0.3915343915343915,0.37389597644749756,3.394817073170732,24400548.173913043,25450698.964285713,-798130.3654682152
89,203967,Dario Saric,0.36259259434771884,0.16716716716716717,0.5585585585585585,0.39552238805970147,0.36253776435045315,3.6933797909407664,24173741.420289855,24767573.964285713,-2473057.3638191447
